group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
OLD DIRECT  Hyper Guest Advance Purchase,Short Stay Accommodation,AUTO OTA Hyper Guest Advance Purchase - Breakfast Included,Advance Purchase - Breakfast Included,,12ced937-441f-48c6-8c0a-b37e00f41973,AOHGAPBI,HGNR,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT 1 Nights 3 days,Short Stay Accommodation,AUTO M&F Insider - Best Flexible Rate 1 Night,M&F Insider - Best Flexible Rate,"Enjoy more flexibility, with our Insider Rate, you can modify or cancel your reservation up to 24 hours before your stay - an exclusive benefit when you book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast - on us!",1e9ef0b2-1dab-4004-a325-b2e200d5eb51,AMIBFRN,,false,false,true,false,Public,Dependent,old AUTO M&F Insider - Best Flexible Rate (1N),74d492b3-be68-4f7e-b721-b18600b6eec7,0%,40,,GBP,2,old AUTO M&F Insider - Best Flexible Rate (1N) → AUTO M&F Insider - Best Flexible Rate
OLD DIRECT Ben,Short Stay Accommodation,Ben,,,1b4bb433-21fc-44b0-b62f-b36800a4854d,B,,true,true,false,false,Private,Base,,,,,150,GBP,0,
OLD DIRECT CyrusDar,Short Stay Accommodation,FIXED COLLECT - CyrusDar,CyrusDar,,d0d0385f-13bc-40e6-b41d-b34f00fa7b12,FCC,,true,true,false,false,Private,Base,,,,,180,GBP,0,
OLD DIRECT Dave,Short Stay Accommodation,Dave,SILVERWARE,,b59ea821-698d-43ee-8383-b36800a2f601,D,,true,true,false,false,Private,Base,,,,,150,GBP,0,
OLD DIRECT Deal,Short Stay Accommodation,£100 Deal,,,dad84c96-5cf9-4068-a051-b19c00d55653,D,,false,true,true,false,Public,Dependent,AUTO - £100 Deal,fc1230fe-c870-4382-86db-b16200d50a7e,0%,0,,GBP,1,AUTO - £100 Deal
OLD DIRECT Deal,Short Stay Accommodation,AUTO - £100 Deal,£100 DEAL,,fc1230fe-c870-4382-86db-b16200d50a7e,AD,,true,true,false,false,Private,Base,,,,,100,GBP,0,
OLD DIRECT Deal,Short Stay Accommodation,Extended stay offer,,,bd58b74d-837b-4dc7-ae48-b26800dae6ad,Eso,,false,false,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT Direct Long Stay,Short Stay Accommodation,Moved Long Stays,Long Stay Direct,,993354b7-ba17-4a15-ab96-b403009d6d41,MLS,,true,true,false,false,Private,Base,,,,,125,GBP,0,
OLD DIRECT DR MARTENS,Short Stay Accommodation,AUTO KKD-Dr Martens,KKD-Dr Martens,GDS agreed corporate rate for Dr Martens,111fa235-0085-4771-bde4-b35900a2fb6c,AKM,KKD,true,true,false,false,Private,Base,,,,,220,GBP,0,
OLD DIRECT DR MARTENS AUTO - COUNTMEIN,Short Stay Accommodation,AUTO - STAYAGAIN,STAYAGAIN,"Welcome back. Our STAYAGAIN Rate is our way of saying thank you for well, staying again. We love to see familiar faces and can’t wait to welcome you back. This is a one-time only rate, so come back to your favourite building or try out a new one. The choice is yours. This rate includes: 20% discount on your stay when booking direct. Flexible cancellation up to 24 hours prior to check in.",483c1982-48c6-4e9b-bab1-b38000ca8011,AS,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-20%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT DR MARTENS AUTO - COUNTMEIN,Short Stay Accommodation,AUTO - TWICEASNICE,TWICEASNICE,"Welcome back. Our TWICEASNICE Rate is our way of saying thank you for being part of our community. We love to see familiar faces and can’t wait to welcome you back. This is a one-time only rate, so come back to your favourite building or try out a new one. The choice is yours. This rate includes: 20% discount on your stay when booking direct. Flexible cancellation up to 24 hours prior to check in.",9c01cc50-624b-4b47-80b3-b37b008f7cc1,AT,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-20%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT Dylan01,Short Stay Accommodation,Dylan01,,,466a1c35-699d-4eb4-96e1-b36800a4b795,D,,true,true,false,false,Private,Base,,,,,120,GBP,0,
OLD DIRECT Dylan02,Short Stay Accommodation,Dylan02,,,ac2ffe4a-0a03-4b0e-ab7e-b36800a4edd6,D,,true,true,false,false,Private,Base,,,,,150,GBP,0,
OLD DIRECT Early Bird,Short Stay Accommodation,old AUTO M&F Early Bird - Best Direct Rate,M&F Early Bird - Best Direct Rate,"Book early for even better rates. Our Early Bird Rate offers the best value for guests who plan ahead and book direct. Plus, join us in our guest kitchen for a daily help-yourself breakfast, on us. This special rate requires full payment at the time of booking and is non-refundable and non-changeable.",2c843855-0f9d-4a14-96ee-b2d80098c984,oAMEBBDR,,true,false,true,false,Public,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT Early Bird,Short Stay Accommodation,Prepaid - Professional Stay,,Prepaid - non-refundable rate,5a2f5e13-462f-4487-84c0-b360008e640f,PPS,,true,false,false,false,Private,Dependent,old AUTO M&F Early Bird - Best Direct Rate,2c843855-0f9d-4a14-96ee-b2d80098c984,0%,0,,GBP,2,old AUTO M&F Early Bird - Best Direct Rate → AUTO M&F Insider - Best Flexible Rate
OLD DIRECT Extended Stay Offer,Short Stay Accommodation,AUTO - Extended Stay Offer,Extended Stay,,bfae54e7-ee5a-4575-9bcd-b26800de4a9a,AESO,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT GDS Advance Purchase - Breakfast Inclusive Rate,Short Stay Accommodation,AUTO GDS Advance Purchase - Breakfast Inclusive Rate,Advance Purchase - Breakfast Inclusive,,a862ff9f-e229-4337-a68e-b37d00b048d3,AGAPBIR,NRGDS,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT Harry,Short Stay Accommodation,Harry,,,9703e419-b420-46b8-95da-b36800a41da5,H,,true,true,false,false,Private,Base,,,,,150,GBP,0,
OLD DIRECT Hyper Guest Rack Rate,Short Stay Accommodation,AUTO OTA Hyper Guest Rack Rate - Breakfast Included,Best Flexible - Breakfast Included,,794eae34-9808-47d7-be52-b37e00f1c4b9,AOHGRRBI,HGFX,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,0%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT IMPORT,Short Stay Accommodation,ARCHIVED Import,Import,,5e2728c6-b147-47c9-b588-b13400adec60,AI,,true,true,false,false,Private,Base,,,,,0,GBP,0,
OLD DIRECT M&F Insider - Best Flexible Rate,Short Stay Accommodation,£95 Deal,,,91f2a63f-e6e1-46ba-8366-b16200d33772,£95 Deal,,false,true,true,false,Public,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,0%,95,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT M&F Insider - Best Flexible Rate,Short Stay Accommodation,Advanced Purchase,,"This is our Best Available Rate, offered exclusively for guests who book in advance. Full payment is required at the time of booking. Please note that this rate is non-refundable and non-amendable. By booking direct you get access to our exclusive resident only areas within our houses, alongside our book direct benefits.",f8205720-adeb-4cad-a0bf-b2d6011303df,AP,,false,false,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT M&F Insider - Best Flexible Rate,Short Stay Accommodation,AUTO - Early Majority,Early Majority,,9d4aa507-34b4-40a9-bb4a-b1bd01022f5c,AEM,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT M&F Insider - Best Flexible Rate,Short Stay Accommodation,AUTO - NEIGHBOURS,NEIGHBOURS,,909fe5a7-f76f-4698-97a6-b24500a48429,AN,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT M&F Insider - Best Flexible Rate,Short Stay Accommodation,AUTO - RESIDENTPERK,RESIDENTPERK,15% OFF FLEXI STAY,ad18873a-604d-44e9-9fb7-b15400e34f89,15% off,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
OLD DIRECT M&F Insider - Best Flexible Rate,Short Stay Accommodation,AUTO - REVIEW,STAYAGAIN,15% OFF,a184cc87-12d0-4718-b804-b15400e3e842,15% off,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
